 	Label	Area	Mean	StdDev	Mode	Min	Max	X	Y	Perim.	BX	BY	Width	Height	Angle	Feret	FeretX	FeretY	FeretAngle	MinFeret	Length
1	IMG_7032.JPG:Pa1b	35553	94.938	30.556	99.000	18.000	220.000	2254.240	1554.650	894.166	2127	1451	238	222	-90.798	255.123	2164.000	1633.000	41.186	216.375	287.028
2	IMG_7032.JPG:Pa2b	15437	99.164	25.854	91.000	46.000	232.000	2399.469	2080.100	582.129	2315	2021	176	124	-90.798	182.003	2315.000	2041.000	164.055	120.190	287.028
3	IMG_7032.JPG:Pa3b	142212	74.493	32.402	54.000	19.000	221.000	1500.680	2383.034	2362.638	1306	2117	441	524	-90.798	528.092	1404.000	2124.000	110.391	423.597	287.028
4	IMG_7032.JPG:Pa4b	119719	102.300	28.932	91.000	38.000	224.000	2908.430	1792.851	1320.249	2711	1548	379	439	-90.798	497.016	2742.000	1985.000	60.598	338.292	287.028
5	IMG_7032.JPG:Pa5b	130558	110.696	31.880	92.000	39.000	221.000	2751.687	1144.798	1940.534	2520	943	436	409	-90.798	494.291	2556.000	989.000	138.116	391.267	287.028
6	IMG_7032.JPG:Pa6	65930	87.999	19.953	80.000	26.000	186.000	3167.624	520.474	2146.570	2980	333	367	374	-90.798	432.801	3054.000	706.000	57.742	253.182	287.028
7	IMG_7032.JPG:M1	316	119.342	58.098	65.638	53.369	199.448	2256.667	588.667	315.482	2245	431	24	316	-94.120	315.482	2245.333	746.000	85.880	0.000	315.482
8	IMG_7032.JPG:M2	326	64.644	4.582	64.822	55.937	101.887	2233.667	907.667	324.839	2222	746	24	325	-94.119	324.839	2222.000	1069.667	85.881	0.000	324.839
9	IMG_7032.JPG:M3	324	132.804	58.359	192.859	56.917	199.253	2207.000	1230.333	322.731	2192	1070	31	322	-95.334	322.731	2192.000	1391.000	84.666	0.000	322.731
10	IMG_7032.JPG:M4	319	73.984	14.850	63.491	48.877	132.946	2175.667	1549.667	317.969	2158	1392	36	317	-96.380	317.969	2158.000	1707.667	83.620	0.000	317.969
