 	Label	Area	Mean	StdDev	Mode	Min	Max	X	Y	Perim.	BX	BY	Width	Height	Angle	Feret	FeretX	FeretY	FeretAngle	MinFeret	Length
1	IMG_6138.JPG:Cali_Pts	0	105.000	0.000	105.000	105.000	105.000	889.000	586.000	0.000	889	586	1	1	0.000	0.000	889	586	0.000	0.000	0.000
2	IMG_6138.JPG:Cali_Pts	0	126.000	0.000	126.000	126.000	126.000	886.000	862.000	0.000	886	862	1	1	0.000	0.000	886	862	0.000	0.000	0.000
3	IMG_6138.JPG:Cali_Pts	0	108.000	0.000	108.000	108.000	108.000	891.000	1159.000	0.000	891	1159	1	1	0.000	0.000	891	1159	0.000	0.000	0.000
4	IMG_6138.JPG:Cali_Pts	0	101.000	0.000	101.000	101.000	101.000	897.000	1467.000	0.000	897	1467	1	1	0.000	0.000	897	1467	0.000	0.000	0.000
5	IMG_6138.JPG:Cali_Pts	0	112.000	0.000	112.000	112.000	112.000	905.000	1783.000	0.000	905	1783	1	1	0.000	0.000	905	1783	0.000	0.000	0.000
6	IMG_6138.JPG:M1	277	159.594	54.442	217.428	90.159	242.051	887.500	724.000	276.016	886	586	4	277	-90.623	276.016	886	862	89.377	0.000	276.016
7	IMG_6138.JPG:M2	298	103.745	6.637	96.973	92.667	130.034	888.500	1010.500	297.042	886	862	6	298	-89.036	297.042	886	862	90.964	8.882E-16	297.042
8	IMG_6138.JPG:M3	309	162.844	58.763	101.398	79.957	230.340	894.000	1313.000	308.058	891	1159	7	309	-88.884	308.058	891	1159	91.116	8.882E-16	308.058
9	IMG_6138.JPG:M4	317	90.449	5.651	87.737	78.705	118.232	901.000	1625.000	316.101	897	1467	9	317	-88.550	316.101	897	1467	91.450	0.000	316.101
10	IMG_6138.JPG:Pa1b	10635	126.388	41.106	90.000	48.000	230.000	961.488	1683.073	397.590	906	1610	106	128	0.000	140.890	940	1611	115.656	103.999	0.000
11	IMG_6138.JPG:Pa2b	890	131.327	36.289	98.000	80.000	233.000	989.604	1317.496	114.690	974	1293	30	42	0.000	42.579	990	1293	99.462	29.807	0.000
12	IMG_6138.JPG:Pa3b	14219	114.627	32.989	126.000	35.000	217.000	1348.898	2658.099	458.000	1257	2596	171	123	0.000	173.612	1257	2654	170.049	122.787	0.000
