 	Label	Area	Mean	Min	Max	X	Y	XM	YM	BX	BY	Width	Height	Angle	Length
1	\IMG_6165.JPG:Cali_Pts	0	113.000	113.000	113.000	1219	331	1219.500	331.500	1219	331	1	1	-105.664	307.417
2	\IMG_6165.JPG:Cali_Pts	0	101.000	101.000	101.000	1227	585	1227.500	585.500	1227	585	1	1	-105.664	307.417
3	\IMG_6165.JPG:Cali_Pts	0	158.000	158.000	158.000	1235	857	1235.500	857.500	1235	857	1	1	-105.664	307.417
4	\IMG_6165.JPG:Cali_Pts	0	96.000	96.000	96.000	1243	1137	1243.500	1137.500	1243	1137	1	1	-105.664	307.417
5	\IMG_6165.JPG:Cali_Pts	0	111.000	111.000	111.000	1250	1421	1250.500	1421.500	1250	1421	1	1	-105.664	307.417
6	\IMG_6165.JPG:M1	255	150.025	80.591	229.507	0	0	0.000	0.000	1219	331	8	254	-88.196	254.126
7	\IMG_6165.JPG:M2	273	78.664	63.500	158.333	0	0	0.000	0.000	1227	585	8	272	-88.315	272.118
8	\IMG_6165.JPG:M3	281	152.957	72.638	221.933	0	0	0.000	0.000	1235	857	8	280	-88.363	280.114
9	\IMG_6165.JPG:M4	285	69.313	60.911	110.667	0	0	0.000	0.000	1243	1137	7	284	-88.588	284.086
10	\IMG_6165.JPG:Pa1	80255	107.973	29.000	239.000	0	0	1363.117	856.604	1211	655	334	378	0.000	0.000
