 	Label	Area	Mean	StdDev	Mode	Min	Max	X	Y	Perim.	BX	BY	Width	Height	Angle	Feret	FeretX	FeretY	FeretAngle	MinFeret	Length
1	IMG_5153.JPG:Pa1	98821	78.110	22.459	78.000	28.000	232.000	290.827	671.551	1462.799	96	471	391	388	-105.024	419.344	157.000	844.000	44.324	339.186	318.901
2	IMG_5153.JPG:Pa2pm	89686	88.789	31.331	74.000	28.000	242.000	651.855	889.975	1421.541	451	706	370	336	-105.024	433.074	465.000	1006.000	38.908	328.324	318.901
3	IMG_5153.JPG:Pa3	14963	90.864	21.995	81.000	53.000	236.000	57.274	945.344	485.507	0	871	133	144	-105.024	169.035	0.000	872.000	133.802	133.000	318.901
4	IMG_5153.JPG:Pa4	251662	71.691	24.841	71.000	14.000	243.000	674.824	2441.610	2031.589	431	2103	517	633	-105.024	689.003	516.000	2153.000	127.036	514.633	318.901
5	IMG_5153.JPG:Pa5	172226	56.686	18.477	50.000	19.000	224.000	1405.656	1516.833	2131.532	1192	1171	447	684	-91.257	701.122	1404.000	1177.000	105.384	391.050	319.077
6	IMG_5153.JPG:Pa6	136742	85.520	42.733	69.000	7.000	239.000	1604.400	125.898	1599.625	1330	0	581	304	-91.257	605.826	1341.000	243.000	20.080	304.000	319.077
7	IMG_5153.JPG:M1	287	149.448	52.093	209.619	87.242	219.152	2111.500	951.000	286.295	2105	808	14	287	-87.397	286.295	2105.000	808.000	92.603	0.000	286.295
8	IMG_5153.JPG:M2	309	66.251	11.250	61.140	50.715	115.019	2123.500	1248.000	308.274	2117	1094	14	309	-87.583	308.274	2117.000	1094.000	92.417	1.776E-15	308.274
9	IMG_5153.JPG:M3	316	121.001	51.947	167.607	46.000	187.829	2131.500	1560.500	315.129	2127	1403	10	316	-88.363	315.129	2127.000	1403.000	91.637	0.000	315.129
10	IMG_5153.JPG:M4	323	47.869	6.282	46.325	40.000	88.333	2137.000	1878.000	322.025	2135	1717	5	323	-89.288	322.025	2135.000	1717.000	90.712	0.000	322.025
11	IMG_5153.JPG:Pa7	33528	48.482	12.857	46.000	15.000	147.000	2449.859	2296.948	831.961	2353	2148	182	292	0.000	292.335	2453.000	2148.000	92.745	176.819	0.000
12	IMG_5153.JPG:Pa8	34197	75.670	19.904	70.000	33.000	210.000	3557.456	2164.574	761.435	3462	2037	186	279	0.000	306.961	3510.000	2037.000	114.645	167.289	0.000
13	IMG_5153.JPG:Pa9	28886	91.105	19.153	86.000	45.000	222.000	2651.139	132.916	657.089	2544	32	221	201	0.000	221.508	2544.000	119.000	176.117	175.079	0.000
