 	Label	Area	Mean	StdDev	Mode	Min	Max	X	Y	Perim.	BX	BY	Width	Height	Angle	Feret	FeretX	FeretY	FeretAngle	MinFeret	Length
1	IMG_4157.JPG:Cali_Pts	0	100.000	0.000	100.000	100.000	100.000	1547.000	2.000	0.000	1547	2	1	1	-114.193	0.000	1547.000	2.000	0.000	0.000	302.576
2	IMG_4157.JPG:Cali_Pts	0	153.000	0.000	153.000	153.000	153.000	1411.000	256.000	0.000	1411	256	1	1	-114.193	0.000	1411.000	256.000	0.000	0.000	302.576
3	IMG_4157.JPG:Cali_Pts	0	88.000	0.000	88.000	88.000	88.000	1280.000	538.000	0.000	1280	538	1	1	-114.193	0.000	1280.000	538.000	0.000	0.000	302.576
4	IMG_4157.JPG:Cali_Pts	0	92.000	0.000	92.000	92.000	92.000	1142.000	820.000	0.000	1142	820	1	1	-114.193	0.000	1142.000	820.000	0.000	0.000	302.576
5	IMG_4157.JPG:Cali_Pts	0	162.000	0.000	162.000	162.000	162.000	1012.000	1108.000	0.000	1012	1108	1	1	-114.193	0.000	1012.000	1108.000	0.000	0.000	302.576
6	IMG_4157.JPG:M1	289	144.057	38.284	107.465	95.927	207.392	1479.000	129.000	288.118	1411	2	137	255	-118.166	288.118	1411.000	256.000	61.834	0.000	288.118
7	IMG_4157.JPG:M2	312	91.472	8.303	89.410	79.118	153.333	1345.500	397.000	310.942	1280	256	132	283	-114.917	310.942	1280.000	538.000	65.083	0.000	310.942
8	IMG_4157.JPG:M3	315	148.063	52.852	205.640	75.727	207.965	1211.000	679.000	313.955	1142	538	139	283	-116.075	313.955	1142.000	820.000	63.925	0.000	313.955
9	IMG_4157.JPG:M4	317	81.069	9.830	76.710	66.025	162.000	1077.000	964.000	315.981	1012	820	131	289	-114.294	315.981	1012.000	1108.000	65.706	0.000	315.981
10	IMG_4157.JPG:Pa1	66178	85.685	26.401	65.000	37.000	224.000	1656.525	739.497	942.463	1494	593	328	291	-114.193	328.672	1494.000	725.000	176.337	265.424	302.576
