 	Label	Area	Mean	StdDev	Mode	Min	Max	X	Y	Perim.	BX	BY	Width	Height	Angle	Feret	FeretX	FeretY	FeretAngle	MinFeret	Length
1	IMG_7029.JPG:Pa1	16789	64.556	14.914	58.000	27.000	132.000	710.062	357.950	841.304	628	267	169	164	-108.435	192.200	632.000	420.000	40.569	143.254	268.794
2	IMG_7029.JPG:Pa2b	194819	79.556	26.844	62.000	18.000	206.000	1504.402	2281.072	2738.766	1211	2036	582	493	-108.435	582.537	1211.000	2318.000	2.460	487.263	268.794
3	IMG_7029.JPG:Pa3b	63861	77.504	21.600	67.000	24.000	207.000	211.700	1910.662	1267.071	31	1712	353	349	-108.435	417.732	39.000	1996.000	42.089	274.581	268.794
4	IMG_7029.JPG:Pa4	22408	72.228	23.337	69.000	23.000	165.000	198.427	1617.949	834.492	79	1527	245	164	-108.435	250.458	79.000	1591.000	168.017	154.898	268.794
5	IMG_7029.JPG:Pa5b	156044	98.727	24.274	92.000	37.000	222.000	1765.640	427.153	2055.263	1510	219	490	435	-108.435	516.075	1529.000	286.000	137.749	417.645	268.794
6	IMG_7029.JPG:Pa6	35520	92.525	26.238	75.000	31.000	230.000	1574.076	883.975	1043.938	1450	771	232	245	-108.435	250.954	1502.000	776.000	115.238	211.540	268.794
7	IMG_7029.JPG:Pa7	14687	62.587	16.386	54.000	29.000	167.000	2619.762	2664.180	450.550	2549	2592	144	142	84.084	147.146	2580.000	2728.000	58.903	131.996	278.148
8	IMG_7029.JPG:Pa8	10066	82.063	22.786	67.000	38.000	211.000	3371.094	1236.720	384.143	3316	1175	119	121	-111.273	124.338	3322.000	1273.000	25.741	111.363	268.279
9	IMG_7029.JPG:M1	310	39.482	3.763	37.393	18.381	54.839	967.000	1471.750	308.502	967	1318	2	309	-90.186	308.502	966.500	1626.000	89.814	0.000	308.502
10	IMG_7029.JPG:M2	307	96.649	52.623	46.571	22.278	168.604	970.750	1164.250	305.504	970	1012	3	306	-90.281	305.504	970.000	1317.000	89.719	0.000	305.504
11	IMG_7029.JPG:M3	304	36.360	5.571	35.110	28.191	90.333	973.000	860.000	303.007	972	709	3	304	-89.622	303.007	972.000	708.500	90.378	0.000	303.007
12	IMG_7029.JPG:M4	288	98.385	51.345	158.792	34.529	175.599	976.500	565.000	287.028	975	422	5	288	-90.798	287.028	974.500	708.500	89.202	0.000	287.028
