 	Label	Area	Mean	StdDev	Mode	Min	Max	X	Y	Perim.	BX	BY	Width	Height	Angle	Feret	FeretX	FeretY	FeretAngle	MinFeret	Length
1	IMG_6209.JPG:Cali_Pts	0	120.000	0.000	120.000	120.000	120.000	1325.000	271.000	0.000	1325	271	1	1	0.000	0.000	1325.000	271	0.000	0.000	0.000
2	IMG_6209.JPG:Cali_Pts	0	88.000	0.000	88.000	88.000	88.000	1262.000	575.000	0.000	1262	575	1	1	0.000	0.000	1262.000	575	0.000	0.000	0.000
3	IMG_6209.JPG:Cali_Pts	0	145.000	0.000	145.000	145.000	145.000	1199.000	893.000	0.000	1199	893	1	1	0.000	0.000	1199.000	893	0.000	0.000	0.000
4	IMG_6209.JPG:Cali_Pts	0	207.000	0.000	207.000	207.000	207.000	1133.000	1208.000	0.000	1133	1208	1	1	0.000	0.000	1133.000	1208	0.000	0.000	0.000
5	IMG_6209.JPG:Cali_Pts	0	71.000	0.000	71.000	71.000	71.000	1070.000	1527.000	0.000	1070	1527	1	1	0.000	0.000	1070.000	1527	0.000	0.000	0.000
6	IMG_6209.JPG:M1	311	155.431	50.467	214.550	88.333	227.908	1293.500	423.000	310.459	1262	271	64	305	-101.708	310.459	1262.000	575	78.292	0.000	310.459
7	IMG_6209.JPG:M2	325	85.072	7.600	81.705	70.501	145.000	1230.500	734.000	324.181	1199	575	64	319	-101.206	324.181	1199.000	893	78.794	0.000	324.181
8	IMG_6209.JPG:M3	323	149.986	60.654	212.023	67.307	217.600	1166.000	1050.500	321.840	1133	893	67	316	-101.834	321.840	1133.000	1208	78.166	0.000	321.840
9	IMG_6209.JPG:M4	326	66.289	14.888	58.287	53.179	207.000	1101.500	1367.500	325.161	1070	1208	64	320	-101.172	325.161	1070.000	1527	78.828	0.000	325.161
10	IMG_6209.JPG:Pa1bb	9632	168.827	34.350	202.000	99.000	237.000	1302.091	271.041	391.652	1242	209	130	127	0.000	152.801	1249.000	326	37.020	85.160	0.000
11	IMG_6209.JPG:Pa2b	22136	114.173	38.293	96.000	31.000	217.000	933.714	965.746	661.803	831	854	182	196	0.000	219.829	850.000	1037	54.068	158.372	0.000
12	IMG_6209.JPG:Pa3b	141990	119.213	50.088	61.000	33.000	240.000	976.587	1432.317	1674.712	793	1175	397	564	0.000	585.984	863.000	1739	74.256	390.731	0.000
13	IMG_6209.JPG:Pa4b	11107	108.189	31.892	82.000	44.000	194.000	612.119	2349.150	420.203	536	2301	156	99	0.000	162.641	536.000	2364	16.429	90.717	0.000
14	IMG_6209.JPG:Pa5b	685837	120.721	46.268	76.000	23.000	239.000	2481.223	1503.949	3984.017	1924	910	1098	1063	0.000	1128.454	1955.000	1833	24.725	939.728	0.000
