 	Label	Area	Mean	StdDev	Mode	Min	Max	X	Y	Perim.	BX	BY	Width	Height	Angle	Feret	FeretX	FeretY	FeretAngle	MinFeret	Length
1	IMG_5168.JPG:Pa1	61198	90.187	25.098	95.000	34.000	236.000	3105.649	637.936	1052.034	2984	442	229	413	-88.019	413.272	3135.000	855.000	87.920	211.236	318.190
2	IMG_5168.JPG:Pa2	9973	60.106	8.687	57.000	36.000	163.000	2313.745	1051.301	382.205	2255	991	107	121	-88.019	133.544	2259.000	1016.000	140.469	100.067	318.190
3	IMG_5168.JPG:Pa3	96834	63.163	18.108	62.000	19.000	191.000	3071.928	1819.656	1293.454	2884	1639	383	346	-88.019	457.901	2890.000	1687.000	144.331	320.783	318.190
4	IMG_5168.JPG:Pa4	42687	61.170	13.880	52.000	31.000	148.000	2168.771	2027.389	854.360	2024	1890	272	255	-88.019	324.829	2024.000	1949.000	145.283	195.529	318.190
5	IMG_5168.JPG:Pa6pm	66838	74.853	22.830	68.000	19.000	228.000	837.783	830.017	1102.461	705	614	270	389	-88.019	389.622	825.000	1003.000	86.763	268.803	318.190
6	IMG_5168.JPG:Pa5	30999	95.601	24.175	93.000	44.000	238.000	206.614	1869.775	819.473	122	1723	161	283	-88.019	283.177	220.000	2006.000	87.976	156.776	318.190
7	IMG_5168.JPG:Pa7	16600	93.023	19.185	91.000	52.000	221.000	510.329	1915.914	577.851	420	1827	177	164	-88.019	225.220	429.000	1827.000	138.240	110.443	318.190
8	IMG_5168.JPG:Pa8	15412	66.282	15.458	63.000	35.000	153.000	970.401	2497.261	541.822	860	2440	197	123	-88.019	202.606	860.000	2462.000	152.676	121.158	318.190
9	IMG_5168.JPG:M1	267	112.701	49.117	71.943	35.333	180.637	2010.500	767.500	265.515	1957	646	108	244	-113.765	265.515	1957.000	889.000	66.235	0.000	265.515
10	IMG_5168.JPG:M2	285	52.439	6.845	50.144	42.600	118.333	1902.000	1021.000	284.155	1847	890	111	263	-112.775	284.155	1847.000	1152.000	67.225	1.421E-14	284.155
11	IMG_5168.JPG:M3	289	113.885	54.181	168.749	29.681	180.855	1787.500	1283.000	287.960	1730	1151	116	265	-113.538	287.960	1730.000	1415.000	66.462	0.000	287.960
12	IMG_5168.JPG:M4	304	56.372	14.963	52.813	45.768	170.144	1668.000	1553.000	302.576	1606	1415	125	277	-114.193	302.576	1606.000	1691.000	65.807	0.000	302.576
