 	Label	Area	Mean	StdDev	Mode	Min	Max	X	Y	Perim.	BX	BY	Width	Height	Angle	Feret	FeretX	FeretY	FeretAngle	MinFeret	Length
1	IMG_4152.JPG:Cali_Pts	0	63.000	0.000	63.000	63.000	63.000	1283.000	842.000	0.000	1283	842	1	1	-114.193	0.000	1283.000	842.000	0.000	0.000	302.576
2	IMG_4152.JPG:Cali_Pts	0	68.000	0.000	68.000	68.000	68.000	1320.000	1118.000	0.000	1320	1118	1	1	-114.193	0.000	1320.000	1118.000	0.000	0.000	302.576
3	IMG_4152.JPG:Cali_Pts	0	186.000	0.000	186.000	186.000	186.000	1353.000	1416.000	0.000	1353	1416	1	1	-114.193	0.000	1353.000	1416.000	0.000	0.000	302.576
4	IMG_4152.JPG:Cali_Pts	0	74.000	0.000	74.000	74.000	74.000	1394.000	1723.000	0.000	1394	1723	1	1	-114.193	0.000	1394.000	1723.000	0.000	0.000	302.576
5	IMG_4152.JPG:Cali_Pts	0	187.000	0.000	187.000	187.000	187.000	1429.000	2046.000	0.000	1429	2046	1	1	-114.193	0.000	1429.000	2046.000	0.000	0.000	302.576
6	IMG_4152.JPG:M1	279	128.872	49.015	187.995	63.000	197.167	1301.500	980.000	278.469	1283	842	38	277	-82.365	278.469	1283.000	842.000	97.635	0.000	278.469
7	IMG_4152.JPG:M2	301	69.541	11.445	67.368	57.559	186.333	1336.500	1267.000	299.822	1320	1118	34	299	-83.681	299.822	1320.000	1118.000	96.319	0.000	299.822
8	IMG_4152.JPG:M3	311	139.873	53.809	198.060	73.667	202.332	1373.500	1569.500	309.726	1353	1416	42	308	-82.393	309.726	1353.000	1416.000	97.607	0.000	309.726
9	IMG_4152.JPG:M4	326	66.258	10.611	61.666	53.610	186.667	1411.500	1884.500	324.891	1394	1723	36	324	-83.816	324.891	1394.000	1723.000	96.184	0.000	324.891
10	IMG_4152.JPG:Pa1pm	270917	94.914	27.603	85.000	29.000	209.000	3288.299	1244.083	1870.666	2997	953	568	575	-114.193	633.780	3121.000	987.000	123.088	563.834	302.576
