 	Label	Area	Mean	Min	Max	X	Y	XM	YM	BX	BY	Width	Height	Angle	Feret	FeretX	FeretY	FeretAngle	MinFeret	Length
1	Adigit_C1_N1_P1.jpg:e1	3610	241.107	189.000	255.000	0.000	0.000	499.961	163.534	463	136	79	60	0.000	84.599	465.000	185.000	28.989	57.502	146.667
2	Adigit_C1_N1_P1.jpg:e2	5446	234.842	184.000	251.000	0.000	0.000	562.946	224.225	524	178	80	91	0.000	104.403	535.000	183.000	126.431	72.371	146.667
3	Adigit_C1_N1_P1.jpg:e3	6318	241.333	167.000	254.000	0.000	0.000	462.479	250.884	406	198	106	105	0.000	114.948	442.000	302.000	62.543	66.468	146.667
4	Adigit_C1_N1_P1.jpg:e4	7048	231.286	171.000	249.000	0.000	0.000	451.441	339.718	405	295	94	92	0.000	103.470	410.000	371.000	34.765	92.000	146.667
5	Adigit_C1_N1_P1.jpg:e5	6802	226.810	166.000	246.000	0.000	0.000	510.139	397.735	456	355	105	89	0.000	105.802	471.000	435.000	36.545	87.196	146.667
6	Adigit_C1_N1_P1.jpg:e6	8530	228.641	173.000	243.000	0.000	0.000	560.798	313.759	517	257	96	121	0.000	127.016	530.000	257.000	117.170	92.827	146.667
7	Adigit_C1_N1_P1.jpg:Cali_Pts	0	76.000	76.000	76.000	445.333	752.000	445.500	752.500	445	752	1	1	0.000	0.000	445.333	752.000	0.000	0.000	146.667
8	Adigit_C1_N1_P1.jpg:Cali_Pts	0	88.000	88.000	88.000	565.333	750.667	565.500	750.500	565	750	1	1	0.000	0.000	565.333	750.667	0.000	0.000	146.667
9	Adigit_C1_N1_P1.jpg:Cali_Pts	0	73.000	73.000	73.000	693.333	749.333	693.500	749.500	693	749	1	1	0.000	0.000	693.333	749.333	0.000	0.000	146.667
10	Adigit_C1_N1_P1.jpg:Cali_Pts	0	60.000	60.000	60.000	822.667	749.333	822.500	749.500	822	749	1	1	0.000	0.000	822.667	749.333	0.000	0.000	146.667
11	Adigit_C1_N1_P1.jpg:Cali_Pts	0	53.000	53.000	53.000	962.667	749.333	962.500	749.500	962	749	1	1	0.000	0.000	962.667	749.333	0.000	0.000	146.667
12	Adigit_C1_N1_P1.jpg:M1	121	83.163	0.002	127.630	0.000	0.000	0.000	0.000	445	751	120	1	0.955	120.007	445.333	752.000	0.637	0.000	120.007
13	Adigit_C1_N1_P1.jpg:M2	129	62.520	0.000	105.163	0.000	0.000	0.000	0.000	565	749	128	1	0.448	128.007	565.333	750.667	0.597	0.000	128.007
14	Adigit_C1_N1_P1.jpg:M3	130	55.267	0.000	90.047	0.000	0.000	0.000	0.000	693	749	129	0	0.000	129.333	693.333	749.333	0.000	0.000	129.333
15	Adigit_C1_N1_P1.jpg:M4	141	47.786	0.000	81.778	0.000	0.000	0.000	0.000	823	749	140	0	0.000	140.000	822.667	749.333	0.000	0.000	140.000
