 	Label	Area	Mean	Min	Max	X	Y	XM	YM	BX	BY	Width	Height	Angle	Feret	FeretX	FeretY	FeretAngle	MinFeret	Length
1	Adigit_19_C11_N1_P10.jpg:e1t	7422	162.486	2.000	248.000	0.000	0.000	578.289	426.997	513	390	118	82	0.000	127.769	513.000	400.000	149.421	78.494	148.000
2	Adigit_19_C11_N1_P10.jpg:e2	6746	179.646	3.000	254.000	0.000	0.000	432.020	350.036	392	289	86	116	0.000	121.458	416.000	405.000	72.759	73.532	148.000
3	Adigit_19_C11_N1_P10.jpg:e3t	5207	112.065	7.000	250.000	0.000	0.000	620.994	182.042	572	142	104	74	0.000	112.004	574.000	155.000	150.001	66.468	148.000
4	Adigit_19_C11_N1_P10.jpg:e4tb	5668	100.844	11.000	149.000	0.000	0.000	517.729	343.210	473	289	87	97	0.000	103.315	499.000	290.000	115.821	86.178	148.000
5	Adigit_19_C11_N1_P10.jpg:Cali_Pts	0	64.000	64.000	64.000	130.667	650.667	130.500	650.500	130	650	1	1	0.000	0.000	130.667	650.667	0.000	0.000	148.000
6	Adigit_19_C11_N1_P10.jpg:Cali_Pts	0	79.000	79.000	79.000	324.000	652.000	324.500	652.500	324	652	1	1	0.000	0.000	324.000	652.000	0.000	0.000	148.000
7	Adigit_19_C11_N1_P10.jpg:Cali_Pts	0	41.000	41.000	41.000	508.000	653.333	508.500	653.500	508	653	1	1	0.000	0.000	508.000	653.333	0.000	0.000	148.000
8	Adigit_19_C11_N1_P10.jpg:Cali_Pts	0	45.000	45.000	45.000	694.667	658.667	694.500	658.500	694	658	1	1	0.000	0.000	694.667	658.667	0.000	0.000	148.000
9	Adigit_19_C11_N1_P10.jpg:Cali_Pts	0	6.000	6.000	6.000	865.333	657.333	865.500	657.500	865	657	1	1	0.000	0.000	865.333	657.333	0.000	0.000	148.000
10	Adigit_19_C11_N1_P10.jpg:M1	194	54.397	22.667	134.471	0.000	0.000	0.000	0.000	131	651	193	1	-0.591	193.338	130.667	650.667	179.605	2.220E-16	193.338
11	Adigit_19_C11_N1_P10.jpg:M2	185	41.545	12.681	105.000	0.000	0.000	0.000	0.000	324	652	184	1	-0.311	184.005	324.000	652.000	179.585	0.000	184.005
12	Adigit_19_C11_N1_P10.jpg:M3	188	22.158	0.000	71.811	0.000	0.000	0.000	0.000	508	653	187	5	-1.540	186.743	508.000	653.333	178.363	0.000	186.743
13	Adigit_19_C11_N1_P10.jpg:M4	172	10.692	0.000	42.468	0.000	0.000	0.000	0.000	695	657	171	1	0.335	170.672	694.667	658.667	0.448	0.000	170.672
