"Photo.Order","Timepoint","Site","Photo.Rep","Photo.Name","ROI.Type","ROI.Rep","ROI.LabelCode","Area","StdDev","Mode","Perim.","Feret","MinFeret","Cal.Length","Mod_Bleached","Sev_Bleached","Partial_Mortality","Cal.nums","Cal.Length.mean","Diameter.circular","Volume.spherical","Geom.Mean.D"
"1","2016_during-bleaching","North","1","IMG_7003.JPG","Pa","1","b",203.202666024509,42.912,113,76.116333449468,22.4970854661914,14.4721678771474,0,"TRUE","FALSE","FALSE","4",298.504,16.0849516622841,2179.00337376766,18.0438797827201
"1","2016_during-bleaching","North","1","IMG_7003.JPG","Pa","2","b",20.5466296790438,33.715,67,19.1305644145472,6.42440302307507,4.95949803017715,0,"TRUE","FALSE","FALSE","4",298.504,5.11476113013968,70.060735225165,5.644627014959
"1","2016_during-bleaching","North","1","IMG_7003.JPG","Pa","3","b",71.2342268744782,39.548,93,47.4546739742181,14.9785262509045,8.28545011122129,0,"TRUE","FALSE","FALSE","4",298.504,9.52356207493929,452.269054332934,11.1401899441386
"1","2016_during-bleaching","North","1","IMG_7003.JPG","Pa","4","b",174.398329267772,36.59,70,73.9993098919947,21.4771661351272,12.972824484764,0,"TRUE","FALSE","FALSE","4",298.504,14.9013707208253,1732.51610500776,16.6918994335912
"1","2016_during-bleaching","North","1","IMG_7003.JPG","Pa","5","b",344.169514436423,39.203,134,233.739815881864,35.5072628842495,27.0415136815587,0,"TRUE","FALSE","FALSE","4",298.504,20.9334716631703,4803.1085185213,30.9866121910598
"2","2016_during-bleaching","North","2","IMG_7005.JPG","Pa","1","b",436.300586435918,37.584,123,150.537112206437,28.841771304949,21.5616678189888,311.885,"TRUE","FALSE","FALSE","3",298.913333333333,23.5693691057133,6855.55304183154,24.937455607751
"2","2016_during-bleaching","North","2","IMG_7005.JPG","Pa","3","bb",20.3236334439535,36.525,235,21.9258201931441,6.3695385507505,4.46406985302317,311.885,"FALSE","TRUE","FALSE","3",298.913333333333,5.08692970204461,68.9232630796761,5.33236017370115
"2","2016_during-bleaching","North","2","IMG_7005.JPG","Pa","4","b",430.05654485963,29.554,104,83.9747418426746,29.258480719049,20.4536878024846,311.885,"TRUE","FALSE","FALSE","3",298.913333333333,23.4001068242744,6708.91272679579,24.4631116214279
"2","2016_during-bleaching","North","2","IMG_7005.JPG","Pa","2","b",220.204592969398,28.261,85,71.8790953899681,22.436971697482,14.9801949282958,311.885,"TRUE","FALSE","FALSE","3",298.913333333333,16.7443481718742,2458.12158248363,18.3333087474394
"2","2016_during-bleaching","North","2","IMG_7005.JPG","Pa","5","b",129.955304461216,34.01,112,51.4764926288556,16.3198474474207,11.7354751655998,311.885,"TRUE","FALSE","FALSE","3",298.913333333333,12.8632901190993,1114.43518920033,13.8391171837507
"3","2016_during-bleaching","North","3","IMG_7016.JPG","Pa","1","b",112.694131820203,27.945,90,53.1862870594181,14.6679323197026,11.2523647873603,268.279,"TRUE","FALSE","FALSE","4",300.767,11.9785902798735,899.944554680171,12.8471368459126
"3","2016_during-bleaching","North","3","IMG_7016.JPG","Pa","2","bb",8.07090026307874,35.625,190,11.7716039326123,4.34891460831807,2.89193960773622,268.279,"FALSE","TRUE","FALSE","4",300.767,3.20564960289881,17.2483188155828,3.5463782097314
"3","2016_during-bleaching","North","3","IMG_7016.JPG","Pa","3",NA,113.784106845459,16.919,74,59.621068800766,13.5947760226355,12.074097224762,268.279,"FALSE","FALSE","FALSE","4",300.767,12.0363792063066,913.032438428563,12.8118947640918
"4","2016_during-bleaching","North","4","IMG_7019.JPG","Pa","1",NA,66.0982704663108,23.528,95,36.3952122134246,11.247005478283,8.61705034761882,278.148,"FALSE","FALSE","FALSE","4",290.00875,9.1738177328911,404.248990478182,9.84459305742544
"4","2016_during-bleaching","North","4","IMG_7019.JPG","Pa","2","bb",15.7624257370104,29.249,146,16.5877064054102,6.41518574870586,3.77281719948105,278.148,"FALSE","TRUE","FALSE","4",290.00875,4.47988211555984,47.075872771382,4.9196873000815
"5","2016_during-bleaching","North","5","IMG_7029.JPG","Pa","1",NA,18.5294385509285,14.914,58,27.9493472398365,6.38516462479268,4.75910704037487,268.794,"FALSE","FALSE","FALSE","4",301.01025,4.8572022713474,60.0008206775747,5.51250232832635
"5","2016_during-bleaching","North","5","IMG_7029.JPG","Pa","2","b",215.014991307007,26.844,62,90.98580530065,19.3527296827932,16.1875882964118,268.794,"TRUE","FALSE","FALSE","4",301.01025,16.5458632184292,2371.73909071832,17.6995485964136
"5","2016_during-bleaching","North","5","IMG_7029.JPG","Pa","3","b",70.4811766812106,21.6,67,42.0939486279952,13.8776669565239,9.12198172653589,268.794,"TRUE","FALSE","FALSE","4",301.01025,9.47308932239019,445.116321498848,11.2513032304868
"5","2016_during-bleaching","North","5","IMG_7029.JPG","Pa","4",NA,24.7309344838409,23.337,69,27.7230426538631,8.32058044535028,5.14593772138989,268.794,"FALSE","FALSE","FALSE","4",301.01025,5.61145291017226,92.5176495204192,6.54348445230728
"5","2016_during-bleaching","North","5","IMG_7029.JPG","Pa","5","b",172.220365074816,24.274,92,68.2788376807766,17.1447650038495,13.8747766894981,268.794,"TRUE","FALSE","FALSE","4",301.01025,14.808030902925,1700.16299209393,15.4233519645483
"5","2016_during-bleaching","North","5","IMG_7029.JPG","Pa","6",NA,39.2021953260456,26.238,75,34.6811445789637,8.33705828954329,7.02766766247993,268.794,"FALSE","FALSE","FALSE","4",301.01025,7.06496888383475,184.641526771016,7.65441538862594
"5","2016_during-bleaching","North","5","IMG_7029.JPG","Pa","7",NA,16.2095338613072,16.386,54,14.9679288329882,4.88840496295392,4.38509984294555,278.148,"FALSE","FALSE","FALSE","4",301.01025,4.54297474282435,49.0930019499165,4.62991834002539
"5","2016_during-bleaching","North","5","IMG_7029.JPG","Pa","8",NA,11.1094960065308,22.786,67,12.7617913343482,4.13068990175584,3.69964145739223,268.279,"FALSE","FALSE","FALSE","4",301.01025,3.76099051282936,27.8551393885854,3.90922902989417
"6","2016_during-bleaching","North","6","IMG_7032.JPG","Pa","1","b",34.6644039501558,30.556,99,27.9204166051923,7.9662394293302,6.75632952153009,287.028,"TRUE","FALSE","FALSE","4",320.25525,6.64349982343736,153.528641014948,7.33638457497701
"6","2016_during-bleaching","North","6","IMG_7032.JPG","Pa","2","b",15.0511744094326,25.854,91,18.177032226638,5.68306062117639,3.75294394080971,287.028,"TRUE","FALSE","FALSE","4",320.25525,4.37764211109079,43.9257699440693,4.61824727829706
"6","2016_during-bleaching","North","6","IMG_7032.JPG","Pa","3","b",138.657615800623,32.402,54,73.7735915336282,16.4897218702894,13.2268557658305,287.028,"TRUE","FALSE","FALSE","4",320.25525,13.2869996468747,1228.22912811958,14.7684519431449
"6","2016_during-bleaching","North","6","IMG_7032.JPG","Pa","4","b",116.726795952766,28.932,91,41.2248979524926,15.519370876824,10.5631991981396,287.028,"TRUE","FALSE","FALSE","4",320.25525,12.1910283625827,948.679786755716,12.8036793931158
"6","2016_during-bleaching","North","6","IMG_7032.JPG","Pa","5","b",127.294890752523,31.88,92,60.5933548318099,15.4342824981011,12.2173485056061,287.028,"TRUE","FALSE","FALSE","4",320.25525,12.7309421783643,1080.38926251438,13.731933884682
"6","2016_during-bleaching","North","6","IMG_7032.JPG","Pa","6",NA,64.282174568497,19.953,80,67.0268481156827,13.5142515228088,7.905631523605,287.028,"FALSE","FALSE","FALSE","4",320.25525,9.04691144436483,387.703427181596,10.3362804168929
"7","2016_during-bleaching","North","7","IMG_7047.JPG","Pa","1","b",99.942131230111,29.319,67,47.4828717271898,14.5122890100861,10.373651896564,317.969,"TRUE","FALSE","FALSE","4",309.138,11.2805263027612,751.599893396855,12.2696957750779
"7","2016_during-bleaching","North","7","IMG_7047.JPG","Pa","2","b",66.3361435785709,31.18,71,42.5076179570289,11.9630068124915,8.96664272913715,317.969,"TRUE","FALSE","FALSE","4",309.138,9.19031018244031,406.433157195975,10.3570269891434
"7","2016_during-bleaching","North","7","IMG_7047.JPG","Pa","3",NA,13.8594876835424,20.338,66,14.8129961376473,4.84938765211653,4.17079103830652,317.969,"FALSE","FALSE","FALSE","4",309.138,4.20076752373375,38.8136571710752,4.49730836842682
"7","2016_during-bleaching","North","7","IMG_7047.JPG","Pa","4","b",141.741383401254,24.88,89,55.9962541001106,18.7010978915565,11.0727894985411,317.969,"TRUE","FALSE","FALSE","4",309.138,13.4339396482173,1269.43012684485,14.3900424024676
"7","2016_during-bleaching","North","7","IMG_7047.JPG","Pa","5",NA,139.053197379433,23.646,80,66.282663405987,16.4389366561212,12.5766809644884,317.969,"FALSE","FALSE","FALSE","4",309.138,13.305939640828,1233.48896746325,14.3787086248894
